,tweet,label
0,"@WagimanDeep212_ Klo saya boleh jujur mungkin ibu iriana lebih baik untuk jadi capres menggantikan jokowi, ketimbang ibuk ini.  Bu iriana sosok yg selalu ada di samping pak jokowi, beliau dekat dengan rakyat dan penuh kelembutan, saya yakin beliau mampu",pro
1,Untuk Bu Iriana..  Pedofil |  NPWP | Jokowimendunia #iriana | Google Play PBSI  https://t.co/Zp2GBFqihU,pro
2,"@hasyimmah Whoaaahhh dari raut wajahnya orang jutekan ini , kalo ga sama tinggi nya ga ramah modelnyaâ€¦ Udah Ganti calon aja, Bu Iriana hehe.. ibuku yg baik hati n ramah beeuutâ€¦",pro
3,Bu Iriana Joko Widodo (sendirian...)  https://t.co/5IBxn2Xo55,pro
4,@Prayogarh_ bu iriana ta sg ngomong?,kontra
5,"@AnnisaPohan Udah kebelet pengen jadi Ibu Negara spt bu Iriana ya, neng ? Ngimpi ! ğŸ¤£ğŸ¤£ğŸ¤£ Tidur lagi sana, biar bisa ngimpi.",pro
6,"Lah, kok saya â€œbaperâ€ lihat foto Bapak @jokowi dan Ibu Iriana.. ğŸ˜„ sehat-sehat ya Pak~Bu..  https://t.co/yLfD72eO9S",pro
7,@Urrangawak @Ari3Pras @ganjarpranowo Bu atikah lbh pantes jd ibu negara drpd ibu yg itu ğŸ˜  11-12 dgn bu Iriana wis ğŸ˜‡  #ojodibandingke,pro
8,@Kanjeng2022 @ganjarpranowo Coba survei test masukan nama Bu. Iriana Jokowi,pro
9,"@Tita83079013 Semoga Bu Iriana Joko Widodo istiqamah dg hijabnya, barakah sisa usianya, dan khusnul khatimah ğŸ¤²ğŸ¤²ğŸ¤²  https://t.co/7oIid3ibPN",pro
10,@gibran_tweet Gibran:pak Rocki kenapa selalu nyinyir sama pak Jokowi RG: sebab klw nyosor Takut di omelin Bu iriana ğŸ¤£ğŸ¤£ğŸ¤£,pro
11,"@gibran_tweet #giveaway #gibranrokygerung Om roky tanya, bener lo anak jokowi? Mas gibran jawab, mboten kulo yogane bu iriana ğŸ¤£ğŸ¤£",pro
12,"Saat berkunjung ke TK Pertiwi Kliwonan 1, Kabupaten Sragen, Bu Iriana @jokowi memborong dagangan Pak Slamet.   ""Ada es di sana, diambil ya,"" kata Bu Iriana.  ""Ya bilang ini, bagi-bagi rezeki itu, untuk anak-anak. Senang sekali, senang sekali,"" kata Pak Slamet.  https://t.co/NAwvoCvbVU",pro
13,@KompasTV @DiabetasolID Bu Iriana ... Sanggulnya dimana ya ??? ğŸ¤”ğŸ¤”ğŸ¤”,kontra
14,Arumi Bachsin promosikan batik kepada Bu Iriana. #arumibachsin #jokowi #ibuiriana #beritaterkini #kabarterkini #infoterkini   https://t.co/taxYzWmTrC,pro
15,"Diundang Iriana Jokowi ke Pernikahan Kaesang-Erina, Bupati Sragen: Saya Diberi Tugas Apa,Â Bu?  https://t.co/UXv3bu74wR",pro
16,"Diundang Iriana Jokowi ke Pernikahan Kaesang-Erina, Bupati Sragen: Saya Diberi Tugas Apa, Bu?  https://t.co/0hJpxfgrmo via @tribunnews",pro
17,"Diundang Iriana Jokowi ke Pernikahan Kaesang-Erina, Bupati Sragen: Saya Diberi Tugas Apa,Â Bu?  https://t.co/vabSO0Fo8h",pro
18,"Hari ini Bu Iriana @jokowi menyerahkan bantuan sembako di Kantor Kecamatan Masaran, Kabupaten Sragen.  ""Tadi berjumpa dengan ibu hamil, lansia, dan juga penanaman pohon kelapa juga alpukat, dan semua pembagian bibit ada 1.000 kelapa dan 1.000 alpukat,"" kata Bu Iriana.  https://t.co/tWm9SvFQ0K",pro
19,Bu Iriana sama Bu Wury makin bestie aja belakangan. Lanjutkan gak nih? ğŸ˜‰ğŸ˜  https://t.co/91cnqHup6e,kontra
20,"Dijaman Bu Ani  @SBYudhoyono dulu ada SIKIB. Dijaman Bu Iriana @jokowi kini ada OASE KIM.  Yg paling lama tentu jaman Bu Tien dulu.   Intinya,  tentu sama.  Solidaritas Istri Menteri.    https://t.co/vvq2bPnMHy",pro
21,"Berbeda dengan Presiden Jokowi yang suka main tebak-tebakan ikan, Bu Iriana justru pakai cara ini untuk membagi-bagikan hadiah.  https://t.co/avdaACm6dW",pro
22,@dhyanuarti @FerdinandHutah4 @YoutubeILC @ganjarpranowo @jokowi @gibran_tweet menurutku bu iriana harus ikut kumpetisi mastersef endonesa sik fufufu,kontra
23,"@detikcom Saya menolak usulan ini.Paling pas itu bu Iriana sebagai Capres,pak haji Jokowi sbg cawapres.Kalau menang,maka Kaesang jd mentri olahraga,Gibran mentri BUMN dan abu janda jadi mentri agama. Cmungut!!!!",kontra
24,"Terus ,Mengapa anda menentang bahwa Bu Iriana Berjilbab dibilang Boleh saja di dalam asal tidak saat kunker LN.  Maksudnya apa..? Bukankah itu keyakinan Seseorang , Dalam Kunker juga gak ada larangan mau pakai Berjilbab atau tidak.",pro
25,"@yanstm @SendangSedayu merusak..? ngakak amat , apa kabar bu iriana memakai baju adat dengan berjilbab apakah merusak..?",kontra
26,"@lucihappy11 @AswantGardapati @_diajengemy Emang betul , Tetapi Berjilbab itukan sesuai keyakinan MasingÂ² gak ada keyakinan yang selalu meng-arabkan.  Bu Iriana aja memakai Adat tak lupa memakai Jilbab sesuai keyakinan :) apa salahnya..? Apakah merubah B",pro
27,@zarazettirazr @ridwankamil @NutellaUSA Wkwwkwk lucu yah uni kayaknya susah nyari celah dari pak @ridwankamil jadi apa aja dijadiin bahan ğŸ˜…padahal kearifan budaya bisa disesuaikan dengan keyakinan masing-masing bu Iriana juga sama padahal,pro
28,@BudiNrestu @AswantGardapati Ngelawak yah bu Iriana pas 17 Agustus gimana?,kontra
29,@BudiNrestu @AswantGardapati Penistaan Budaya..? Melestarikan budaya sesuai keyakinan dibilang penistaan..? Apa kabar Bu Iriana saat 17 Agustus..?,kontra
30,@galaudinner @daunsirih5 @AswantGardapati @AgsBudijanto nyindir bu iriana..? jahat bener anda hahahaha,pro
31,@AswantGardapati @daunsirih5 @AgsBudijanto narasi protes melarang jilbab pada berbudaya..? berarti anda melarang bu iriana memakai jilbab saat berbudaya ya..?,pro
32,Merusak Budaya..? Anda saja gak bisa membedakan Merusak dan menerapkan budaya tsb sesuai keyakinan masingÂ².  Bu Iriana juga memakai Budaya dengan tak lupa menerapkan Ajaran sesuai Keyakinannya.,pro
33,"@bucintehtarikk @marchhhman @minminverse Mesti liat yg gimana lagi? Habibie&amp;ainun, sby&amp; bu ani, jokowi&amp;iriana? Ada kan? Bukan berati gak ada? karena fokusmu aja yg ke rumah tangga berantakan klo yg baik2 aja ya jarang ke up kan baik2 aja. Klo ",pro
34,@AnnisaPohan Hebat ya udah berani terang2 nya sebar hoax jijay deh.  #bangga dgn bu iriana,pro
35,"Bukan idolaku. Wanita tangguh Idolaku Bu Sri Mulyani, Bu Retno dan Bu Risma serta tentunya Bu Iriana. GBU para Wonder_Woman Indonesia ini.",pro
36,@Madebylaluna gak tau apa saya doang ato ada juga yang ngerasain... kalo ngeliat wajah Bu Iriana kok kayaknya hati adem aja gitu.....,pro
37,"Menyita Perhatian Masyarakat, Mural Jokowi Pegang Putin dan Zelenskyy Serta Bu Iriana Memeluk Seorang Bocah yang Menangis.  #2024SingkirkanPDIP TREASURE CONCEPT POSTER Senin Natalie Peningkatan Ekonomi Negara Kenduri Swarnabhumi MAXIDENT MASHUP VIDEO Piala Asia  https://t.co/vfEMq1dQul",pro
38,"@ZulfanE94952246 Nggak suka ceremony karena ""...daerah sudah menunggu lama..."". Empati semacam ini yang mahal dari istri pejabat kita. Semoga Allah senantiasa menjaga bu Iriana dan pak @jokowi",pro
39,"Menyita Perhatian Masyarakat, Mural Jokowi Pegang Putin dan Zelenskyy Serta Bu Iriana Memeluk Seorang Bocah Yang Menangis.  #TimnasDay Senin ArmuhvsMarshel Peningkatan Ekonomi Negara Return of The King Kenduri Swarnabhumi Chevron Natalie  https://t.co/rduDFMskUZ",pro
40,"@AnnisaPohan Sekali2 belajar ya sama bu Iriana dan mba Selvi ananda  Tau kapan harus bicara, tau menempatkan diri ketika suami sedang bekerja  Mulut hanya satu, fungsikan sesuai jumlahnya",pro
41,@vorvegas Bu iriana  https://t.co/X4BefWXICZ,pro
42,@AbahDeon @mns_biasa99 Hehe... Mirip bu Mega dan bu Iriana ya... ğŸ˜Š,pro
43,"@SantorinisSun Bu Iriana dihina, namun pak Jokowi bisa besar hati, kaesang dan gibran sebagai anak juga berbesar hati.  Mungkin kadrun aja yg kecil pikirannya bro",pro
44,"@BfBng @satriadjenar @RiswanHaris212 Bu Iriana apa sdh pernah ditanya/dikonfirmasi, sepanjang hidupnya berapa kali beliau menikah?",kontra
45,"@jokowi Tanya : Ibu Negara itu siapa ya.? Megawati kah.? Kalo Ibu Iriana itu Isteri Presiden atau Ibu Presiden atau Ibu Jokowi. Ingat iklan obat penurun panas Khan.? ""Bu Joko, bu Joko punya es.? Ini anak saya panas."" Kalo Bapak Negara khan Luhut yg berani",kontra
46,"Mbak ayu @SisiwittFrida seandainya @AgusYudhoyono sesederhana pak @jokowi bersentuhan dgn rakyat &amp; mbak @AnnisaPohan setulus bu Iriana menempatkan diri di tengah2 masyarakat, pasti @PDemokrat (simbok diblokir) sdh dapat tempat di hati rakyat, ga pakai threshold 0% pun ok",pro
47,Pak Jokowi dan Bu Iriana meninjau proyek infrastruktur hingga menyerahkan bantuan sosial (bansos).  ENJOY LA LALISA | Madiun #RasaAmanNyaman #UMMCampus  https://t.co/5aVQ5R2VMu,pro
48,Pak Jokowi dan Bu Iriana meninjau proyek infrastruktur hingga menyerahkan bantuan sosial (bansos).  ENJOY LA LALISA | Madiun #RasaAmanNyaman #UMMCampus  https://t.co/RTH5oYasVt,pro
49,@Tita83079013 Kalau gak kita gak perlu liat penampilan bu Iriana berubah atau kita gak perlu liat lagi2 berita pembagunan atau imb gereja dipersulit. Atau sekoalh2 yg umum tapi jelas bgt bedanya atr yg is dgn nonis. Minoritas slalu jadi korban tapi kenapa,kontra
50,Bu Iriana ğŸ§• aja yang jadi wapres   https://t.co/fvVTVkv90r,pro
51,@Bambang_Budimab @ridanulantary27 @firman__nurhuda @katzedikke @DEdward_6 @ABJ_aseli @zulfiarrahman Suka2 Bu Iriana dan pak Jokowi mau pake apaan sewot aje lu babi. Lu kira yg disebut ulama di dunia ini cuma dia doang. Tolol jg lu babi ğŸ¤£ğŸ¤£  https://t,pro
52,"@ariarjiwinata02 @vierda @itqonharahap Semua boleh gabung jadi jamaahku, pak jokowi kalo udh mulai bosen sama bu Iriana juga boleh jadi jamaahku...",pro
53,Ganti dg bu Iriana bieb.,pro
54,@We3nd_ @Ojoklalenya Bu Iriana be like:  https://t.co/XhCdS8b0gX,pro
55,"@AgusHamra @FashionIin @Hans_prayoga70 @alisyarief Langsung hening, ud drpd singgung almamater / ijazah mending balik pakai propaganda anak pki aja. btw yg emang orang solo dan pernah bersinggungan dgn bu iriana dan kel pak jokowi pasti cengar cengir aja ",kontra
56,@yusuf_dumdum Awas bu Iriana jangan deket si Lizal banyak virus nya.......... ğŸ¤£ğŸ¤£ğŸ¤£,pro
57,@yusuf_dumdum Bu Iriana cantik banget ğŸ¥°,pro
58,@mu_afi Oci kalo pake masker jadi kek Bu Iriana deh ahahahah,pro
59,@MurtadhaOne1 @jokowi @pramonoanung @ListyoSigitP @TjahjantoHadi Bu iriana jawil2..wedi marang rizal ramli.. Untunge pak jokowi cepet respon.. ğŸ˜ƒğŸ˜ƒğŸ˜ƒ,kontra
60,"@buminisasi salahkkk ya brow,, ini lagu nya pk jkowi dan bu iriana,,!",kontra
61,@kaesangp nih anak emang pantesam dimarahin terus sama bu iriana,pro
62,@elisa_jkt Bu Iriana pernah namu. Jokowi ga ikut.  ....... Madame.  https://t.co/y5K6uWyiE1,pro
63,gaya bener wkwkwkw our queen mah bu hajah iriana bozzzz,pro
64,@ruhutsitompul Pak jokowi mesra sm bu iriana Ruhut ditinggal kabur istrinya Tertawa termehek mehek,pro
65,@MARQUEZ__93 Video lama ya??? Yg baru2 sanggul Bu Iriana sudah hilang ...,pro
66,@MARQUEZ__93 Fokus ke Bu Iriana... Seneng bgt liat ny ğŸ¤—ğŸ¤£ğŸ¥°ğŸ¥°ğŸ¥°,pro
67,@nauralathi @WicaksonoMulyo Bu iriana sampai ketakutan,pro
68,@MARQUEZ__93 Bu iriana colek2 pak jokowi.. â˜º,pro
69,@MARQUEZ__93 Bu Iriana gk mau dekat2 sama RR..takut kecipratan ludah klo RR ngomong..soalnya mulutnya  baik nagah..ğŸ˜‚ğŸ˜‚ğŸ¤­ğŸ¤­,pro
70,@MARQUEZ__93 Kabar kabare  Bu Iriana iku biyen mantane...ğŸ˜‚ğŸ˜‚ğŸ˜‚ tapi Ibu gak Rumongso.   Tapi kunu nek crito jare wes jeroo...  #Ngipi,pro
71,"@MarahIchsan Bu iriana : ""pak, jgn buru"" atuh, di sebelah aku ada bunglon inih, serem aku pak... Usir atuh pak"".  https://t.co/9MO3xouxDM",pro
72,@MARQUEZ__93 bu Iriana jawil2  takut sebelah ya,pro
73,"@MARQUEZ__93 salfok sama bu Iriana, cantik banget dibandingkan skrg ğŸ«¶",pro
74,@Muhadjir_M @MARQUEZ__93 Bu iriana mungkin merasa bau badan si RR.Makanya menghindar jauh.,pro
75,@Muhadjir_M @MARQUEZ__93 Bu Iriana yang minta digandeng dulu ... sadar akan adanya bahaya hahahaha,pro
76,"Bu IRIANA ke Pak JOKOWI : Pak, Tolong GANDENG saya. Pak Rizal Ramli, sepertiya mau nempel terus ke saya... ğŸ¤ªğŸ˜œğŸ˜€",pro
77,@MARQUEZ__93 @Opowaelahkeno77 ğŸ¤£ğŸ¤£ğŸ¤£ liat gestur Bu Iriana ngakak,pro
78,@MARQUEZ__93 Momen ud poto bareng aja ud seneng bgt ya? Bu Iriana tuh baik bgt loh smp nyolek2 Bpk Jokowi biar berhenti sejenak ngasih moment buat RR ğŸ¤£,pro
79,@MARQUEZ__93 Bu Iriana cantik banget.,pro
